exact88.nw,9,43,14,10,11.666666666666666
exact98.nw,21,172,20,13,15.476190476190476
exact89.nw,3,106,18,15,16.0
exact99.nw,21,40,12,8,9.047619047619047
exact75.nw,21,230,23,14,17.0
exact24.nw,6,32,14,10,11.833333333333334
exact86.nw,2,326,39,34,36.5
exact10.nw,5,111,23,17,19.8
exact41.nw,3,44,21,10,14.333333333333334
exact51.nw,28,142,19,12,14.964285714285714
exact00.nw,4,111,19,17,18.25
exact96.nw,4,43,16,15,15.5
exact34.nw,2,300,21,15,18.0
exact65.nw,20,19,13,7,9.6
exact45.nw,2,300,18,17,17.5
exact14.nw,13,26,9,7,8.076923076923077
exact20.nw,3,115,14,13,13.333333333333334
exact71.nw,7,35,14,10,12.0
exact82.nw,7,49,13,10,10.857142857142858
exact92.nw,4,45,12,11,11.5
exact61.nw,6,32,12,8,10.333333333333334
exact30.nw,2,300,37,36,36.5
exact04.nw,2,309,30,28,29.0
exact55.nw,11,32,13,10,11.181818181818182
exact44.nw,3,115,16,14,15.0
exact15.nw,2,140,14,13,13.5
exact21.nw,18,204,20,18,18.944444444444443
exact70.nw,20,72,21,17,19.95
exact83.nw,20,11,8,6,6.95
exact93.nw,3,99,14,12,13.0
exact60.nw,5,30,12,7,8.2
exact31.nw,2,300,23,17,20.0
exact05.nw,3,87,14,14,14.0
exact54.nw,2,100,20,17,18.5
exact74.nw,20,19,14,6,10.45
exact25.nw,5,45,15,10,11.4
exact87.nw,3,39,16,14,15.0
exact11.nw,2,318,54,44,49.0
exact40.nw,6,37,20,10,14.333333333333334
exact50.nw,3,106,23,12,18.333333333333332
exact01.nw,5,45,14,12,12.4
exact97.nw,2,300,20,18,19.0
exact35.nw,4,37,14,12,13.25
exact64.nw,5,51,16,15,15.2
exact16.nw,20,20,9,6,7.2
exact47.nw,3,95,46,16,26.333333333333332
exact80.nw,6,38,13,7,10.333333333333334
exact73.nw,20,157,29,24,27.05
exact22.nw,2,100,28,22,25.0
exact32.nw,3,109,21,16,17.666666666666668
exact63.nw,15,157,29,25,27.266666666666666
exact90.nw,19,145,25,25,25.0
exact57.nw,4,42,12,9,11.0
exact06.nw,30,130,21,12,13.766666666666667
exact84.nw,15,89,23,21,22.333333333333332
exact26.nw,12,42,12,8,9.416666666666666
exact77.nw,10,48,18,13,17.1
exact43.nw,15,116,31,22,25.066666666666666
exact12.nw,2,350,20,19,19.5
exact02.nw,4,60,25,18,20.25
exact53.nw,20,11,8,6,7.25
exact67.nw,20,15,12,6,8.05
exact36.nw,6,32,16,11,12.666666666666666
exact94.nw,20,15,12,6,9.05
exact85.nw,2,232,29,22,25.5
exact27.nw,11,130,19,12,14.909090909090908
exact76.nw,13,24,9,7,7.6923076923076925
exact42.nw,15,32,11,8,9.133333333333333
exact13.nw,6,28,11,7,8.333333333333334
exact03.nw,9,22,15,11,13.444444444444445
exact52.nw,2,200,15,14,14.5
exact66.nw,10,19,13,9,11.0
exact37.nw,19,88,21,16,19.42105263157895
exact95.nw,11,38,14,9,10.454545454545455
exact17.nw,2,226,28,24,26.0
exact46.nw,18,55,15,13,14.0
exact81.nw,2,100,24,19,21.5
exact72.nw,5,78,15,11,13.0
exact23.nw,11,27,9,6,7.2727272727272725
exact33.nw,2,100,24,23,23.5
exact62.nw,2,217,40,34,37.0
exact91.nw,6,33,13,9,10.666666666666666
exact56.nw,2,200,16,15,15.5
exact07.nw,20,11,9,5,7.5
exact79.nw,5,45,15,11,12.6
exact28.nw,2,250,17,13,15.0
exact38.nw,4,48,14,11,12.5
exact69.nw,3,82,20,16,18.666666666666668
exact49.nw,20,15,13,7,8.4
exact18.nw,21,34,12,8,10.142857142857142
exact08.nw,5,38,12,7,9.4
exact59.nw,20,15,13,6,8.6
exact48.nw,4,32,17,12,13.75
exact19.nw,5,80,23,21,22.2
exact09.nw,9,23,11,7,9.444444444444445
exact58.nw,20,10,8,4,6.15
exact78.nw,2,100,28,26,27.0
exact29.nw,2,160,16,14,15.0
exact39.nw,5,48,19,16,16.8
exact68.nw,3,243,25,24,24.333333333333332
